,Date,cases,Close
0,01-01-2020,4711.55,4711.55
1,02-01-2020,4796.7,4796.7
2,03-01-2020,4755.75,4755.75
3,06-01-2020,4639.25,4639.25
4,07-01-2020,4674.65,4674.65
5,08-01-2020,4686.85,4686.85
6,09-01-2020,4766.1,4766.1
7,10-01-2020,4787.7,4787.7
8,13-01-2020,4827.05,4827.05
9,14-01-2020,4865.6,4865.6
10,15-01-2020,4923.8,4923.8
11,16-01-2020,4968.9,4968.9
12,17-01-2020,4986.55,4986.55
13,20-01-2020,4944.85,4944.85
14,21-01-2020,4940.6,4940.6
15,22-01-2020,4921.65,4921.65
16,23-01-2020,4994.3,4994.3
17,24-01-2020,5037.95,5037.95
18,27-01-2020,5012.85,5012.85
19,28-01-2020,4994.7,4994.7
20,29-01-2020,5015.75,5015.75
21,30-01-2020,4976.75,4976.75
22,31-01-2020,4915.7,4915.7
23,01-02-2020,4762.6,4762.6
24,03-02-2020,4837.1,4837.1
25,04-02-2020,4906.85,4906.85
26,05-02-2020,4967.45,4967.45
27,06-02-2020,4998.4,4998.4
28,07-02-2020,5015.45,5015.45
29,10-02-2020,4957.3,4957.3
30,11-02-2020,4950.45,4950.45
31,12-02-2020,4945.25,4945.25
32,13-02-2020,4930.15,4930.15
33,14-02-2020,4887.55,4887.55
34,17-02-2020,4847.5,4847.5
35,18-02-2020,4823.25,4823.25
36,19-02-2020,4901.2,4901.2
37,20-02-2020,4927.75,4927.75
38,24-02-2020,4813.8,4813.8
39,25-02-2020,4807.9,4807.9
40,26-02-2020,4745.35,4745.35
41,27-02-2020,4702.9,4702.9
42,28-02-2020,4518.3,4518.3
43,02-03-2020,4469.25,4469.25
44,03-03-2020,4562.2,4562.2
45,04-03-2020,4500.2,4500.2
46,05-03-2020,4507.4,4507.4
47,06-03-2020,4380.2,4380.2
48,09-03-2020,4156.9,4156.9
49,11-03-2020,4123.65,4123.65
50,12-03-2020,3774.75,3774.75
51,13-03-2020,3920.25,3920.25
52,16-03-2020,3646.75,3646.75
53,17-03-2020,3560.1,3560.1
54,18-03-2020,3370.6,3370.6
