,Date,cases,Close
0,30-01-2020,1,4976.75
1,31-01-2020,0,4915.7
2,01-02-2020,0,4762.6
3,03-02-2020,1,4837.1
4,04-02-2020,0,4906.85
5,05-02-2020,0,4967.45
6,06-02-2020,0,4998.4
7,07-02-2020,0,5015.45
8,10-02-2020,0,4957.3
9,11-02-2020,0,4950.45
10,12-02-2020,0,4945.25
11,13-02-2020,0,4930.15
12,14-02-2020,0,4887.55
13,17-02-2020,0,4847.5
14,18-02-2020,0,4823.25
15,19-02-2020,0,4901.2
16,20-02-2020,0,4927.75
17,24-02-2020,0,4813.8
18,25-02-2020,0,4807.9
19,26-02-2020,0,4745.35
20,27-02-2020,0,4702.9
21,28-02-2020,0,4518.3
22,02-03-2020,2,4469.25
23,03-03-2020,1,4562.2
24,04-03-2020,22,4500.2
25,05-03-2020,2,4507.4
26,06-03-2020,1,4380.2
27,09-03-2020,9,4156.9
28,11-03-2020,8,4123.65
29,12-03-2020,10,3774.75
30,13-03-2020,10,3920.25
31,16-03-2020,14,3646.75
32,17-03-2020,20,3560.1
33,18-03-2020,25,3370.6
34,19-03-2020,27,3233.75
35,20-03-2020,58,3413.55
36,23-03-2020,94,2905.15
37,24-03-2020,74,2975.15
38,25-03-2020,86,3110.5
39,26-03-2020,73,3219.9
40,27-03-2020,153,3206.5
41,30-03-2020,187,3121.5
42,31-03-2020,309,3180.6
43,01-04-2020,424,3095.45
44,03-04-2020,560,3037
45,07-04-2020,573,3232.1
46,08-04-2020,565,3287.8
47,09-04-2020,813,3420.95
48,13-04-2020,1243,3371.8
49,15-04-2020,886,3419.55
50,16-04-2020,1061,3499.5
51,17-04-2020,922,3593.95
52,20-04-2020,1239,3600.75
53,21-04-2020,1537,3472.65
54,22-04-2020,1292,3521.7
55,23-04-2020,1667,3571.15
56,24-04-2020,1408,3470.35
57,27-04-2020,1568,3531.25
58,28-04-2020,1902,3597.8
59,29-04-2020,1705,3649.15
60,30-04-2020,1801,3722.4
61,04-05-2020,3656,3548.65
62,05-05-2020,2971,3518.8
63,06-05-2020,3602,3567.65
64,07-05-2020,3344,3542.5
65,08-05-2020,3339,3537.5
66,11-05-2020,3592,3567.15
67,12-05-2020,3562,3547.5
68,13-05-2020,3726,3647.6
69,14-05-2020,3991,3626.1
70,15-05-2020,3808,3618.5
71,18-05-2020,4628,3430.8
72,19-05-2020,6154,3451.8
73,20-05-2020,5720,3505.3
74,21-05-2020,6023,3529.15
75,22-05-2020,6536,3496.85
76,26-05-2020,5907,3567.2
77,27-05-2020,7246,3603.6
78,28-05-2020,7254,3663.2
79,29-05-2020,8138,3713.55
80,01-06-2020,7723,3838.9
81,02-06-2020,8812,3882.6
82,03-06-2020,9689,3880.35
83,04-06-2020,9847,3880.95
84,05-06-2020,9472,3946.45
85,08-06-2020,8536,3955.6
86,09-06-2020,9981,3940.6
87,10-06-2020,11156,3992.6
88,11-06-2020,11135,3944.55
89,12-06-2020,11306,4020.05
90,15-06-2020,10032,3952.9
91,16-06-2020,11086,3975.5
92,17-06-2020,13108,3984.55
93,18-06-2020,13829,4035.6
94,19-06-2020,14740,4088.15
95,22-06-2020,13560,4167.85
96,23-06-2020,15656,4209.5
97,24-06-2020,16868,4132.1
98,25-06-2020,18205,4168.95
99,26-06-2020,18255,4171.75
100,29-06-2020,18339,4095.95
101,30-06-2020,18256,4094.25
102,01-07-2020,19429,4115.8
103,02-07-2020,21947,4170.85
104,03-07-2020,22718,4208.75
105,06-07-2020,22500,4289.55
106,07-07-2020,23147,4312.65
107,08-07-2020,25561,4285.05
108,09-07-2020,25790,4308.1
109,10-07-2020,27762,4266.05
110,13-07-2020,28178,4256.3
111,14-07-2020,29917,4180.15
112,15-07-2020,32607,4141.4
113,16-07-2020,35468,4172.15
114,17-07-2020,34820,4248.15
115,20-07-2020,36806,4282.65
116,21-07-2020,39170,4283.1
117,22-07-2020,45601,4288.8
118,23-07-2020,48443,4319.65
119,24-07-2020,48888,4286.2
120,27-07-2020,46484,4224.95
121,28-07-2020,49631,4280.65
122,29-07-2020,52479,4305.85
123,30-07-2020,54968,4256.95
124,31-07-2020,57486,4249.05
125,03-08-2020,50488,4231.3
126,04-08-2020,51282,4288.65
127,05-08-2020,56626,4318.55
128,06-08-2020,62170,4356.4
129,07-08-2020,61455,4437.75
130,10-08-2020,53016,4478.5
131,11-08-2020,61252,4480.15
132,12-08-2020,67066,4505.65
133,13-08-2020,64141,4604.6
134,14-08-2020,65610,4537.8
135,17-08-2020,54298,4568.2
136,18-08-2020,65024,4633.65
137,19-08-2020,69196,4660
138,20-08-2020,68518,4703
139,21-08-2020,69029,4711.05
140,24-08-2020,59696,4741.1
141,25-08-2020,66873,4756.4
142,26-08-2020,75995,4787.7
143,27-08-2020,76827,4788.1
144,28-08-2020,76657,4829.55
145,31-08-2020,68766,4636.95
146,01-09-2020,78168,4683.3
147,02-09-2020,82860,4753.9
148,03-09-2020,84156,4816.05
149,04-09-2020,87115,4720.1
150,07-09-2020,75015,4665.85
151,08-09-2020,89855,4587
152,09-09-2020,95536,4567.5
153,10-09-2020,96762,4603.05
154,11-09-2020,97655,4644.85
155,14-09-2020,81913,4740.1
156,15-09-2020,91098,4770.05
157,16-09-2020,97860,4783.75
158,17-09-2020,96787,4788.7
159,18-09-2020,92973,4767.75
160,21-09-2020,74493,4572.85
161,22-09-2020,83362,4496.55
162,23-09-2020,86703,4486.45
163,24-09-2020,85921,4355.3
164,25-09-2020,85717,4534.95
165,28-09-2020,69669,4699.7
166,29-09-2020,80500,4678.7
167,30-09-2020,86748,4666.55
168,01-10-2020,81784,4722.15
169,05-10-2020,60130,4707.85
170,06-10-2020,71869,4738.65
171,07-10-2020,78809,4717.2
172,08-10-2020,70797,4735.05
173,09-10-2020,73305,4731.1
174,12-10-2020,54262,4688.65
175,13-10-2020,63717,4643.8
176,14-10-2020,67811,4649.45
177,15-10-2020,63441,4550.1
178,16-10-2020,62304,4613.55
179,19-10-2020,45506,4656.8
180,20-10-2020,54348,4690.5
181,21-10-2020,56264,4701.15
182,22-10-2020,54371,4725.15
183,23-10-2020,53931,4757.4
