Date,Close
2020-01-01,4711.55
2020-01-02,4796.7
2020-01-03,4755.75
2020-01-06,4639.25
2020-01-07,4674.65
2020-01-08,4686.85
2020-01-09,4766.1
2020-01-10,4787.7
2020-01-13,4827.05
2020-01-14,4865.6
2020-01-15,4923.8
2020-01-16,4968.9
2020-01-17,4986.55
2020-01-20,4944.85
2020-01-21,4940.6
2020-01-22,4921.65
2020-01-23,4994.3
2020-01-24,5037.95
2020-01-27,5012.85
2020-01-28,4994.7
2020-01-29,5015.75
2020-01-30,4976.75
2020-01-31,4915.7
2020-02-01,4762.6
2020-02-03,4837.1
2020-02-04,4906.85
2020-02-05,4967.45
2020-02-06,4998.4
2020-02-07,5015.45
2020-02-10,4957.3
2020-02-11,4950.45
2020-02-12,4945.25
2020-02-13,4930.15
2020-02-14,4887.55
2020-02-17,4847.5
2020-02-18,4823.25
2020-02-19,4901.2
2020-02-20,4927.75
2020-02-24,4813.8
2020-02-25,4807.9
2020-02-26,4745.35
2020-02-27,4702.9
2020-02-28,4518.3
2020-03-02,4469.25
2020-03-03,4562.2
2020-03-04,4500.2
2020-03-05,4507.4
2020-03-06,4380.2
2020-03-09,4156.9
2020-03-11,4123.65
2020-03-12,3774.75
2020-03-13,3920.25
2020-03-16,3646.75
2020-03-17,3560.1
2020-03-18,3370.6
2020-03-19,3233.75
2020-03-20,3413.55
2020-03-23,2905.15
2020-03-24,2975.15
2020-03-25,3110.5
2020-03-26,3219.9
2020-03-27,3206.5
2020-03-30,3121.5
2020-03-31,3180.6
2020-04-01,3095.45
2020-04-03,3037
2020-04-07,3232.1
2020-04-08,3287.8
2020-04-09,3420.95
2020-04-13,3371.8
2020-04-15,3419.55
2020-04-16,3499.5
2020-04-17,3593.95
2020-04-20,3600.75
2020-04-21,3472.65
2020-04-22,3521.7
2020-04-23,3571.15
2020-04-24,3470.35
2020-04-27,3531.25
2020-04-28,3597.8
2020-04-29,3649.15
2020-04-30,3722.4
2020-05-04,3548.65
2020-05-05,3518.8
2020-05-06,3567.65
2020-05-07,3542.5
2020-05-08,3537.5
2020-05-11,3567.15
2020-05-12,3547.5
2020-05-13,3647.6
2020-05-14,3626.1
2020-05-15,3618.5
2020-05-18,3430.8
2020-05-19,3451.8
2020-05-20,3505.3
2020-05-21,3529.15
